cversion,featured,guests,ident,ip,location,map,maxplayers,modlist,modstotal,modstotalsize,official,owner,partner,password,players,playerslist,port,sdesc,sname,tags,version
2.7,False,False,QUUDX,85.10.194.90,DE,/levels/Gheo_Monaco/info.json,15,/Gheo_Monaco;/B#-UI;/BetterChat;/B#-Loader;/B#-Essentials;/B#_QoL;/B#-LMDh;/B#-GT3;/B#-Diana;/B#-F4;/B#-BTCC;/B#-GT4;/B#-Tyrewear;/B#-GTCup;/B#-TPUPack;/B#-PerfMod;/B#-Liveries;/B#-F3;/B#-Race;/B#-TrackCam;/B#-Screens;/B#-Flags;/B#-Timer;,23,1293796759,False,beamsharp#0,False,False,3,RoscoWithTheCrossbow;ghostofsomthing;Polybius;,30829,"A ^lSim-Racing^r server with a fully automatic race-system and a lovely community of ^lSim-Racers^r. Join our discord to not miss any updates or events! - ^lSpecial Features: AUTOMATIC-RACES, LAPTIMER, DRIVER-RATINGS, LEADERBOARD, STATISTICS, WORKING PITS, FLAGS, ACCURATE TRACKLIMITS, PENALTIES",⚡ ^lbeamapex^4. ^r❙ ^l^cRace ^r❙ ^l^6Monaco ^r❙ ^l^cAutomatic Races ^r^l^6•^l ^cStats ^r❙ ^l^6by ^fbeamsharp^r^l^4. ^r❙ ^7BeamApex:BeamSharp:Beam#:Rigged,,3.9.0
2.7,False,False,M0NbN,85.10.194.90,DE,/levels/Unshown_Bathurst/info.json,15,/Unshown_Bathurst;/B#-UI;/BetterChat;/B#-Loader;/B#-Essentials;/B#_QoL;/B#-LMDh;/B#-GT3;/B#-Diana;/B#-F4;/B#-BTCC;/B#-GT4;/B#-Tyrewear;/B#-GTCup;/B#-TPUPack;/B#-PerfMod;/B#-Liveries;/B#-F3;/B#-Race;/B#-TrackCam;/B#-Screens;/B#-Flags;/B#-Timer;,23,1455801052,False,beamsharpevent#0,False,False,0,,30853,Welcome to ^6^lBeam^0#^r^f! A fully ^6^lautomated racing^r ^fserver with all your ^6^lSim-Racing^r^f needs. ^pJoin our discord ^6^ldiscord.rigged.gg^r^f. ^p^c^lDrive safe!,⚡ ^lbeamapex^4. ^r❙ ^l^cRace ^r❙ ^l^6Bathurst ^r❙ ^l^cAutomatic Races ^r^l^6•^l ^cStats ^r❙ ^l^6by ^fbeamsharp^r^l^4. ^r❙ ^7BeamApex:BeamSharp:Beam#:Rigged,,3.9.0
2.7,False,False,yDRtH,152.53.82.215,US,/levels/Gheo_Spa_2025/info.json,15,/Gheo_Spa_2025;/B#-UI;/B#-Essentials;/B#_QoL;/BetterChat;/B#-Loader;/B#-BTCC;/B#-LMDh;/B#-Liveries;/B#-GT4;/B#-GTCup;/B#-F3;/B#-Diana;/B#-TPUPack;/B#-F4;/B#-PerfMod;/B#-GT3;/B#-Tyrewear;/B#-TrackCam;/B#-Flags;/B#-Race;/B#-Timer;/B#-Screens;,23,1820943054,False,beamsharp#0,False,False,11,P0ssumm;Legendnud3l;mts3012;abi_11;landon29;Davidlikesturtles;GuGa798;probablsnow;coolboy178;jimbobgymjim;Eromanqa;,30815,"A ^l^cSim-Racing^r server with a fully automatic race-system and a lovely community of ^l^cSim-Racers^r. Join our discord (discord.beamsharp.com) to not miss any updates or events! - ^l^cSpecial Features:^6 AUTOMATIC-RACES, LAPTIMER, DRIVER-RATINGS, LEADERBOARD, STATISTICS, WORKING PITS, FLAGS, ACCURATE TRACKLIMITS, PENALTIES",⚡ ^lbeamapex^4. ^r❙ ^l^cRace ^r❙ ^l^6Spa ^r❙ ^l^cAutomatic Races ^r^l^6•^l ^cStats ^r❙ ^l^6by ^fbeamsharp^r^l^4. ^r❙ ^7BeamApex:BeamSharp:Beam#:Rigged:RacingUS1,,3.9.0
2.7.0,False,True,k9vPD,148.251.182.124,DE,/levels/ebisu_circuit_full_JU/info.json,5,/etkluxe_repo;/VW_Golf_MK8_xNME_V2;/BigMike_Skin_Pack_1.0.1-a93b5ee2;/scirocco_fastlane;/hachiimpreza;/kajzer_aria;/D_Troxx_Wheel_Pack-70da937b;/matissator_e34;/thw_ccf2;/bmwe36_revamp_adamplg;/volvo_v60_andronisk_v4_11-05-25;/v_1_02_tgr2020_remods;/fsw_luxurysedan_1.0.9;/Nissan_silvia_S15;/estjza80;/lookahead-9d2972d6;/Gabry_SL65_AMG_V2;/saga_KLJP;/ljevo_fixed-2025;/serenity;/Ebisu Circuit FULL 2;/DSL Addons v0.07-bcbaf3ae;/Mazda_RX-7_Updated_PBR (1);/innocent_gavril_vertex;/picnic_lucasbe_1.6.1;/350z;/24Model3_xNME_v2.5;/Audi_A8_V1.1_RELEASE_PHAIEN;/0.36 tdi fix 1.2 by japan cat bmt;/Mercedes-Benz_C-Class_W205_V21;/matissator_e30;/Audi_A7_4K8_xNME_V1.6.2;/audi_a6_andronisk_v12;/LuuksDraftingMod;/lgn_pack;/Mercedes Benz SL63_V1.3 Release;/etkk_lucasbe;/coremod_KLJP;/850volvo;/mestari_q8_v3;/raiiiu_audir8_v35;/ks_nord_v20231124_v2;/highly_customizable_engines_rk;/configpack_KLJP;/Peugeot205JP;/CJD_Specials-21d0f07e;/signia;/Turbo_Everything_rk-9b80c6db;/fsw_luxurysedan_abused;/docroswagge_cs200_platform;/jettaa5_fastlane;/drop_hubs-9a3918b4;/muscle_lucasbe_1.0;/bmw_M3_e92_rework_ringt0n_fixed;/Z31;,55,13234861062,False,chopitup#0,False,False,1,Alex_XP90;,27216,Lots of quality car mods - JDM/EDM | Traffic | Changing maps | Drift | Touge | Cruise,YoungChop's Hub,Freeroam,3.9.0
2.7.0,False,True,8X34h,57.129.86.10,DE,/levels/utah/info.json,8,/plum;/paper_airplane;/innocent_gavril_vertex;/simple_suite_zeit;/ibishu_prodigy;/0_widefap;/trackfabSuperlite;/0_ibishu_wheel_t150_lj;/cktodbox_eveningmorning;/f4_lucasbe;/skyride_ultimate;/cktodbox;/satsuma210_by_mike94;/fr17;/f2_lucasbe;/Cummins;/saga_KLJP;/ONIBI SKIN PACK;/claria;/DSC_Scarab_05;/0_CJD_Specials;/BeamZERO;/CJD_Specials;/0_coremod_KLJP;/lj_cleartrailer;/highly_customizable_engines_rk;/jbx100;/agenty_toy_building_block_car;/fsw_fullsizesuv;/TPUFormulaBee;/RG_RC;/smolutv_lucasbe;/etka;/kajzer_colt_mistral;/fillman86_lmp_enis2_2023;/etkk_lucasbe;/D-Troxx_Wheel_Pack;/scintilla_gt3;/trackfabBrawler;/0_configpack_KLJP;/one_naguluna;/tesla_cybertruck;/vipibishu;/prasu;/BeamPaint;,45,5623251861,False,z_3_r_0#0,False,False,5,Doenermitalles;Muff1n;guest6685103;guest3208650;christian_w28;,30006,"Current Map: Utah | ^bBeam ZERO^r -  Servers in active development! Join us on discord to see the playtime leaderboard, link your BeamMP account and stay updated on the latest changes! Always looking for suggestions and feedback to continue improving! Find us at https://beamzero.net",^l^0Beam ZERO^r^l^8 | ^r^b^nbeamzero.net^r^l^8 | ^r^d[ ^r^l^eUtah ^r^d]^r^l^8 | ^r^d[ ^r^6DRIFT ^r^d| ^r^1CRUISE ^r^d| ^r^5CHILL ^r^d]^r^a - Main 6,Freeroam,3.9.0
2.7.0,False,True,8X34h,185.56.161.19,GB,/levels/west_coast_usa/info.json,5,/captmexico69_tanimbar_notothen;/panik_knivez_killing_capt_mexico;/panik_knivez_maduro_killa;/captmexico69_first_love_cougar;,4,221934959,False,panikknivez#0,False,False,2,itzconn2k1;jameshe;,27712,Horizon Hosting BeamMP Server,Happy Hit Ler,Freeroam,3.9.0
2.7.0,False,True,8X34h,74.207.226.183,US,/levels/tdi1/info.json,30,/javi_bx_engine_remake;/0.36 tdi shrunk jpnbmt;/foxakemi;/Missile Onibi LHAB667;/EFR HGKk;/TMRKick Kit;/fantic2000_skins_tldcv2;/ibishu_diadem;/(NS) Non4ik Suspention;/fsl_sunburst_pub;/sw_reds;/UIB_Tsukuba Circuit JU;/2gtzreworkr14 (1);/ax53_pessima;/miramar_v8_pack-ba90827f;/sunburstbolideswap;/configpack_KLJP;/bastion_hemi_engine;/CobaltRadar;/enhanceddriver;/docroswagge_cs200_platform;/ttb_wheel_apex_vs5;/WSCX_TTB_RimPack #1 - 2;/Kaido_Racer_zenith_lc700;/wanganwheelsboxlc700;/xereq322;/proj;/1jz_bx_sw;/VipIbishu_FD;/kljpalexiafront;/enhanced_chase_camera;/Drift Queens ETK FIXED;/tldc0310;/ttb_wheel_lmgt2;/Danny Twisted Tea TLDC;/coremod_KLJP;/ttb_wheel_bridgestone_potenza_super_rap_evo;/nihilist_diadem_pro;/(PSN) livr's and sticker's;/BD SWAP RUBY;/ttperformance;/coinzyn;/styledriven;/gc_bx_extra_stuff;/i6diana;/ttb_wheel_rays_volk_te37_gravel_II;/tbd_ballast;/Japan Cat Pessima JCC Kits Free;/star_bx_lights;/ttb_rimpack;/Pessima Rwd Cut  Fixed;/D-Troxx Fixed;/bastionxq;/swrvebodyswaps;/TLDC MotD;/BeamXForza_SoundsConfigs;/tldc_pubpack;/vipIbishu;/ttb_rimpack_2pc;/BMTTLDCPARTPACKNOTFORREDISTRIBUTIONv3;/saga_KLJP;/bxpartspack;/ss_tuner_app;/tldcmiramar;/Drift Gear EverythingV2;/brdracing_wheelpack_v1;/bastion_coupe;/lgn_packv3;/ttb_vanilla_tires_expansion;/highy_customizable_transmissions;/jbx100TLDC;/bloodtldc;/coinfignewton;/HRL ETK-K hunter;/nihilist_sunburst2_pro;/enhancedtuning;/WK_Wheel_Pack;/god6sixzillaskinpack;/pessima_bodykit;/skinpackv2;/HRL UI;/Kits Alexia by streetflams31;/Kits_for_Miramar_lc700;/orbitalspace_rimpack_v1.3;/nihilist_etk800_pro;/custom_n2o_bottles;/podrull_fix;/Japan Cat Alexia;/Turbo_Everything_rk;/FattyKaioken;/BeamMP;/PDP_DEMO;/SAIKOD;/Japan Cat Alexia Kits;/startinglight_gm;,95,6593723279,False,nuclearhitman#0,False,False,1,guest6944383;,30815,"Have fun smoke mad weed, and get laps in!",SHREDDERS-DRIFTO-1,Drift,3.9.0
2.7.0,False,True,8X34h,185.56.161.19,GB,/levels/west_coast_usa/info.json,5,/jettaa5_fastlane;/PeugeotBoxerByLoonz1e;/1998DaewooMatiz;/passatb5;/meowcivic;/golfiv;/Audi_A8_V11_RELEASE_PHAIEN;/volkswagen_tcross_v1.8;/Peugeot205JP;/WSCX_HellishArrows Taurus ;/PUGCITwheels;/bmw_5-series_e60_stef_pedro;/ford_smax_fastlane_kajto;/fordcrownvictoria;/sksuperb2_fastlane;/DW_C6 V3 (Most Recent);/bmwe36_revamp_adamplg;/LRDefender110X;/josh_wrx02;/daciapack_kajto_fastlane;/WSCX_Porsche Cayman;/meowtahoe;/octavia1u_v2.1;/Dunsfold_Aerodrome;/jawsh_z4;/golf7variant_fastlane;/bcnz_tango_v10;/WSCX_Porsche 911 (992);/traxr_awt-wagen;/rover200coupe_fastlane;/BMWE34_mat_V30;/mg_zs_fastlane;/v140sV2;/WSCX_Mercedes-Benz CLS-Class W219;/fleetwood1978_v055;,35,8097758551,False,y8qu#0,False,False,2,Danzy.xn;coden509;,27277,Horizon Networks BeamMP Server,LJC PLC,Freeroam,3.9.0
2.7.0,False,True,8X34h,15.204.4.33,US,/levels/johnson_valley/info.json,6,,0,0,False,franksturrr#0,False,False,0,,30884,BeamMP Default Description,BeamMP Server,Freeroam,3.9.0
2.7.0,False,True,8X34h,85.14.206.27,DE,/levels/2k_happogahara/info.json,4,,0,0,False,daneccek.1397#0,False,False,1,guest7226650;,23200,Powered by 4Netplayers,Daneccek drift paradise.4Netplayers,Lang:German,3.9.0
2.7.0,False,True,RdDkG,88.198.35.123,DE,/levels/Al_Ghadeer_KHwylD/info.json,16,,0,0,False,ikhwyld#0,False,False,0,,25625,discord.gg/jZJjDPNqAh,KHwylD Server,,3.9.0
2.7.0,False,True,Ynv0L,57.129.86.10,DE,/levels/west_coast_usa/info.json,8,/plum;/paper_airplane;/innocent_gavril_vertex;/simple_suite_zeit;/ibishu_prodigy;/0_widefap;/trackfabSuperlite;/0_ibishu_wheel_t150_lj;/cktodbox_eveningmorning;/f4_lucasbe;/skyride_ultimate;/cktodbox;/satsuma210_by_mike94;/fr17;/f2_lucasbe;/Cummins;/saga_KLJP;/ONIBI SKIN PACK;/claria;/DSC_Scarab_05;/0_CJD_Specials;/BeamZERO;/CJD_Specials;/0_coremod_KLJP;/lj_cleartrailer;/highly_customizable_engines_rk;/jbx100;/agenty_toy_building_block_car;/fsw_fullsizesuv;/TPUFormulaBee;/RG_RC;/smolutv_lucasbe;/etka;/kajzer_colt_mistral;/fillman86_lmp_enis2_2023;/etkk_lucasbe;/D-Troxx_Wheel_Pack;/scintilla_gt3;/trackfabBrawler;/0_configpack_KLJP;/one_naguluna;/tesla_cybertruck;/vipibishu;/prasu;/BeamPaint;,45,5623251861,False,z_3_r_0#0,False,False,4,guest7303996;guest6241719;Louloute7;pixxelizz;,30001,"Current Map: West Coast USA | ^bBeam ZERO^r -  Servers in active development! Join us on discord to see the playtime leaderboard, link your BeamMP account and stay updated on the latest changes! Always looking for suggestions and feedback to continue improving! Find us at https://beamzero.net",^l^0Beam ZERO^r^l^8 | ^r^b^nbeamzero.net^r^l^8 | ^r^d[ ^r^l^eWest Coast USA ^r^d]^r^l^8 | ^r^d[ ^r^6DRIFT ^r^d| ^r^1CRUISE ^r^d| ^r^5CHILL ^r^d]^r^a - Main 1,Freeroam,3.9.0
2.7.0,False,True,Ynv0L,185.56.161.19,GB,/levels/automation_test_track/info.json,8,/fsw_fullsizesuv;/awd_covet;/f4_lucasbe;/docroswagge_as100_platform;/TPUBlackpoolSuperlite;/outlaw;/thw_ccf2;/Turbo_Everything_rk;/LuuksDraftingMod;/bohhu_etkhybrid;/fsw_vela;/TrackfabV8Buggy;/tyre-thermals-and-wear;/vivace_sedan_repo;/Bell407;/etkk_lucasbe;/highly_customizable_engines_rk;/kajzer_aria;/TrackfabWheelPack;/pigo;/TPUFJunior;/AWDpack;/kajzer_colt_mistral;/iyb_fpvdrone;/fiesta_nuova_bolide;/agenty_trailer_mod;/docroswagge_cs200_platform;/etkluxe_repo;/TPURacetechParts;/SiR_VariableRadiators;/claria;,31,3372173231,False,f3nyr#0,False,False,0,,27823,Great Value Blueberries,Great Value Blueberries,Freeroam,3.9.0
2.7.0,False,True,WQmKl,57.129.86.10,DE,/levels/ks_nord/info.json,8,/thw_ccf2;/simple_suite_zeit;/cktodbox_eveningmorning;/f4_lucasbe;/skyride_ultimate;/cktodbox;/f2_lucasbe;/ONIBI SKIN PACK;/ks_nord_v20231124_v2;/LuuksTyreThermalsAndWear;/BeamZERO;/LuuksDraftingMod;/scintilla_gt3;/BeamPaint;,14,2203535123,False,z_3_r_0#0,False,False,4,nikolai9;COUB;Artemoon;Fabsens;,30028,"Current Map: Nordschleife | ^bBeam ZERO^r -  Servers in active development! Join us on discord to see the playtime leaderboard, link your BeamMP account and stay updated on the latest changes! Always looking for suggestions and feedback to continue improving! Find us at https://beamzero.net",^l^0Beam ZERO^r^l^8 | ^r^b^nbeamzero.net^r^l^8 | ^r^d[ ^r^l^eNordschleife ^r^d]^r^l^8 | ^r^d[ ^r^6DRIFT ^r^d| ^r^1CRUISE ^r^d| ^r^5CHILL ^r^d]^r^a - Racing 4,,3.9.0
2.7.0,False,True,WQmKl,185.56.161.19,GB,/levels/east_coast_usa/info.json,12,,0,0,False,horizonhosting#0,False,False,8,hassy8x;humbsusik;Rickey1;KickTripp;Paul1115;qwackaduk;Treezy;Mr_Freeman;,27018,Horizon Hosting official server - hrznhosting.com,^6[ ^eUK ^6]  ^4Horizon Hosting  ^6|  ^fVanilla  ^6|  ^fEast Coast ^6|  ^7hrznhosting.com,Freeroam,3.9.0
